Flow ID,Source IP,Source Port,Destination IP,Destination Port,Protocol,Timestamp,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
165.234.73.68-192.168.0.152-57648-443-17,165.234.73.68,57648,192.168.0.152,443,17,07/07/2017 09:00:15,1792332,55,43,586.9377,998.9023,64178,886,222.8931,63483,353,498.6599,74753.02181586511,203.58733264805292,1144.309,188.605,42176,890,188.6524,1046.2476,50196,239,856.013,616.1626,2,5,3,5,913.4302,381.2311,988.414,792.3937,667,19936,742.993,18.5098,25114.5575,1,0,4,9,26,2,0,3,99.7117,910.4417,23.0214,216.2331,1306.3995,1454.9352,112.2424,1172.2879,397.5342,934.8891,397.4833,10527,851.7653,49808,41505,63956,872.383,35.8991,102.6311,315.5805,37667,232,1120.1496,216.9857,12903,778,Bot
185.134.91.130-192.168.0.174-30100-22-0,185.134.91.130,30100,192.168.0.174,22,0,07/07/2017 09:00:06,15176,476,5,244.1974,412.0517,23600,174,262.604,50140,634,1024.7019,3990910.1525529483,15021.704910277836,746.5009,291.5786,30433,472,637.9046,689.3557,1231,920,804.6331,1351.8141,5,4,1,0,441.7298,345.5656,587.5717,638.9387,434,32780,685.2537,151.0608,49968.6783,0,383,3,3,1,0,1,3,571.9227,574.8119,1489.0381,442.8461,1466.9167,987.3447,411.7206,848.8935,1028.6992,1117.0033,49.0443,65107,832.8389,37512,30162,46179,219.0045,190.132,375.9402,377.7887,17927,643,145.7459,313.7291,5167,316,DDoS
68.22.235.138-192.168.2.27-24935-22-6,68.22.235.138,24935,192.168.2.27,22,6,07/07/2017 09:00:21,1870359,63,16,914.049,944.1878,38684,764,1305.5954,15095,479,1444.3399,2005.9609598755717,63.98846082728789,211.1355,483.2501,52089,990,845.7445,835.9689,11836,809,394.5746,396.6879,0,3,2,5,749.0116,262.1614,381.0255,638.5493,380,14201,1012.2548,235.7384,30977.3434,2,3,4,10,21,2,4,1,647.6524,635.4039,696.4013,1051.6157,973.8592,175.0139,68.0202,55.8182,1493.8911,174.1807,234.8,17781,388.6458,48629,54935,20253,885.4138,654.9219,1250.5396,307.8261,36666,33,1035.421,108.6348,58287,973,FTP-Patator
192.168.3.151-192.168.0.174-65310-3389-0,192.168.3.151,65310,192.168.0.174,3389,0,07/07/2017 09:00:23,3009774,4,25,639.4929,971.0933,6629,805,500.2637,16505,805,846.867,13866.483898993183,193.65727174930916,102.9152,382.5787,27152,600,215.9514,1304.5431,43064,792,147.5542,1350.7966,0,2,1,1,540.2155,798.5138,109.9263,866.4479,134,1947,537.3634,394.2158,29442.6461,0,1,0,3,20,1,2,0,126.7585,420.9606,170.474,95.3371,672.4128,543.0585,890.499,678.0081,332.3246,922.6603,727.243,39535,458.0425,4082,7972,62781,847.2985,426.2736,161.9427,356.2007,58138,75,1348.9001,161.0559,19442,67,BENIGN
192.168.0.98-192.168.2.27-36961-3389-17,192.168.0.98,36961,192.168.2.27,3389,17,07/07/2017 09:00:27,4451633,19,29,430.0699,888.091,54239,347,1241.1288,52262,425,1094.4188,25326.99861683545,86.32476550181285,468.8225,156.2618,33408,383,953.5925,1030.2316,62163,68,91.2248,128.0465,3,0,5,5,372.6469,130.1155,59.981,956.6246,575,43207,1005.0199,205.4043,43680.3686,0,2,3,8,6,5,0,2,600.4101,351.6462,866.8778,319.1082,985.1045,336.3673,162.3276,1268.0601,551.3416,1143.9084,574.1,56244,845.1552,3441,35054,3794,180.4161,702.6988,463.477,169.9123,800,185,1304.7941,283.1605,52531,71,BENIGN
192.168.0.7-192.168.1.36-49921-25-6,192.168.0.7,49921,192.168.1.36,25,6,07/07/2017 09:00:11,3806456,22,10,155.5799,754.4359,6522,690,122.3723,58079,677,636.0222,18565.649314602495,144.4583955646633,910.614,207.0919,28255,773,512.3463,517.7593,14534,290,678.2179,889.7014,4,5,2,0,220.5184,984.4457,54.782,204.4231,968,27686,1151.0243,382.0804,14472.3566,2,2,0,1,1,0,3,5,430.655,129.1857,798.8735,345.1661,838.0854,1002.0723,531.2508,595.6068,1113.062,654.3294,459.7543,10205,862.11,56267,53008,54747,289.5152,405.0323,1449.2995,85.9366,60305,851,1034.4151,180.9263,57240,864,BENIGN
192.168.0.195-192.168.2.27-27267-25-6,192.168.0.195,27267,192.168.2.27,25,6,07/07/2017 09:00:12,2603771,48,21,509.9521,905.9227,45793,359,1091.0687,19358,241,154.2068,11156.445738823142,155.9340147863513,383.9523,86.7495,20036,778,759.1524,113.0299,64764,475,754.4458,1139.8157,3,5,4,5,635.2983,624.5218,864.2469,627.2174,154,57640,102.4294,221.104,15141.0218,2,0,2,1,16,4,0,2,507.3369,310.4079,677.8708,85.3351,1247.5449,115.0965,1296.3751,1282.9401,922.5126,760.6017,462.7117,5376,449.7337,24672,42143,62341,501.3673,957.7224,675.7847,405.4834,45015,731,126.4937,323.0635,5130,253,BENIGN
17.108.161.55-192.168.2.40-35282-22-17,17.108.161.55,35282,192.168.2.40,22,17,07/07/2017 09:00:12,148317,3273,6,334.6493,329.6908,50667,290,377.9937,19709,341,122.253,3883600.7034399905,34105.43716769927,995.4182,458.3732,40662,990,656.0547,993.2027,16901,609,708.834,127.0785,4,3,5,2,813.1848,670.1164,828.959,738.7747,701,12249,969.0372,211.7032,18091.4048,0,53,2,5,5,2,1,1,341.7323,766.1562,288.0079,1499.9649,232.4178,443.6882,1182.1803,761.5346,809.6561,1107.966,526.5316,44140,876.3928,17176,49377,20218,162.2472,831.3451,1156.6467,404.5219,21697,738,656.5101,205.4293,31133,992,DDoS
192.168.1.184-192.168.1.179-16359-25-6,192.168.1.184,16359,192.168.1.179,25,6,07/07/2017 09:00:11,3935388,13,23,502.9067,418.6608,21241,836,299.5466,18140,893,375.0048,33947.51057074811,114.29866897609635,961.7686,437.0585,13446,728,845.8923,1276.7491,37363,85,763.1168,409.1869,4,1,3,0,946.4133,222.038,451.128,349.5851,27,54381,79.8853,251.0036,11788.9037,1,1,0,4,12,2,1,0,318.6849,99.0831,1072.0564,502.9355,219.074,57.4548,1376.0943,708.6824,1246.6657,1138.2617,469.1101,688,905.8575,2490,33544,28266,834.9631,548.8042,1090.8522,263.8858,14573,794,432.1524,150.5756,6258,244,BENIGN
192.168.0.98-192.168.1.179-5140-443-17,192.168.0.98,5140,192.168.1.179,443,17,07/07/2017 09:00:22,138869,41,32,352.816,570.6637,24551,680,1002.3224,47265,69,1430.1055,28794.868130778614,143.84959339457436,816.1229,393.2062,2665,399,873.3314,65.3016,50709,382,253.6503,24.3633,0,2,1,5,657.1044,103.6639,581.9033,756.6789,136,5811,528.4486,169.2736,32139.7808,1,1,5,0,19,3,5,3,631.7358,811.4977,94.6508,1164.2856,686.5194,440.1639,65.7094,299.2048,62.8589,1400.0565,515.3836,62049,253.3138,25048,37501,46789,862.1385,47.804,983.5971,136.6083,48237,447,1334.2298,371.6539,50678,347,BENIGN
168.255.202.227-192.168.3.88-25098-25-17,168.255.202.227,25098,192.168.3.88,25,17,07/07/2017 09:00:32,1525300,56,10,102.5979,327.9199,38750,313,668.8736,55851,170,1034.6472,34562.45072987506,398.04416777278607,527.3205,21.1776,46210,629,998.1506,411.833,7518,76,671.1839,609.3153,4,5,5,1,952.7894,142.7795,607.5729,781.312,35,16545,100.85,389.2577,18316.4237,2,1,3,9,10,4,0,4,153.4382,449.9226,556.4468,665.9089,115.3281,206.5427,550.4249,471.5782,418.0346,1440.7801,25.9133,24385,499.044,50723,15435,34311,774.9645,704.0378,321.8556,305.9386,64382,204,183.9561,426.4131,59250,176,Web Attack – XSS
17.108.161.55-192.168.1.36-54141-3389-0,17.108.161.55,54141,192.168.1.36,3389,0,07/07/2017 09:00:14,136687,72,69,793.6964,508.7557,15907,205,1188.0985,31029,809,741.0329,23370.910165669527,120.68271461645855,541.3448,286.1387,61263,822,983.012,194.6568,11300,67,309.2907,1499.3926,5,3,4,3,769.1646,823.3394,73.7507,972.3797,657,9720,674.9617,340.0545,17225.739,2,1,4,20,5,5,4,1,767.7816,129.033,754.2957,1302.3174,1247.0862,777.1532,456.1868,242.9504,1402.1068,338.2054,947.4831,37230,845.9337,32847,25729,35972,125.1703,302.8246,800.217,251.2866,22103,606,1412.4105,77.0971,44252,862,Bot
68.22.235.138-192.168.0.7-6347-80-0,68.22.235.138,6347,192.168.0.7,80,0,07/07/2017 09:00:33,555523,85,26,289.6717,956.6502,63300,250,1207.0322,53227,304,680.3162,61403.328273121624,167.21812668163523,1032.9204,79.0402,54476,495,464.4422,510.2889,18830,320,861.4851,478.9746,2,3,1,2,514.9801,106.1839,241.7379,122.5219,460,32495,211.3165,25.3026,47269.2446,1,0,4,20,17,3,1,1,813.4778,933.7515,1081.6926,284.7512,239.0136,1493.9541,700.2227,1318.6135,746.0554,135.0736,393.2422,59930,966.6866,28199,46254,6377,50.5404,494.8942,1323.5092,327.13,61680,292,805.0361,423.5862,56482,137,Bot
120.128.5.175-192.168.3.151-51084-8080-17,120.128.5.175,51084,192.168.3.151,8080,17,07/07/2017 09:00:02,26821,4771,8,450.3544,549.8571,15572,131,1462.6242,51629,382,1192.3458,1013543.7443442094,27884.53486774701,508.6279,469.4743,18909,203,602.463,602.0806,5276,46,38.914,1070.3878,3,4,3,1,606.2605,515.5057,327.9658,613.0681,166,51505,1485.9236,369.6597,14961.7171,0,75,2,3,4,4,4,4,489.8467,562.9243,712.3389,24.9554,496.8594,164.4069,624.8104,461.5168,1348.1507,1308.1487,629.2605,62205,265.5304,29824,6731,62973,170.5121,629.0252,929.6037,420.5836,19369,841,1021.0903,15.7853,14404,195,DoS Slowhttptest
192.168.3.57-192.168.0.195-10948-8080-0,192.168.3.57,10948,192.168.0.195,8080,0,07/07/2017 09:00:09,4210567,50,39,518.6832,560.8868,62701,538,565.2372,22699,470,1368.1862,46033.995399870815,174.6271329280079,513.4905,177.1435,34650,624,484.1801,1436.0061,36569,571,298.4992,1412.2283,2,2,5,1,690.2399,489.0031,479.8034,560.4876,956,35842,431.6841,286.7384,27159.5438,2,2,3,0,4,2,1,2,42.0665,955.3137,118.5442,1386.0144,983.9581,1121.0077,320.9802,1241.9276,406.6991,843.027,271.6215,14316,615.677,31363,31779,6653,669.834,531.0415,956.9169,26.2456,54172,338,1076.0371,50.2725,18018,5,BENIGN
96.82.0.154-192.168.3.9-27691-53-17,96.82.0.154,27691,192.168.3.9,53,17,07/07/2017 09:00:32,1585760,38,41,535.1523,723.1177,4888,935,1382.2063,54773,903,1256.4073,22976.14423589895,24.605871910354804,1400.8839,18.1699,52034,806,495.3839,1404.9131,37941,897,37.4662,447.5883,4,0,2,2,454.3491,641.3124,524.3185,889.26,137,61344,409.2556,404.4069,16534.2048,2,0,5,18,7,3,5,2,718.5982,14.0842,505.6683,442.5364,1011.6017,289.7419,916.4317,958.0887,608.2356,641.5549,327.9267,52538,669.2559,24219,18430,62580,323.6017,248.0471,391.1779,117.7606,34995,976,494.438,291.2304,1498,267,Web Attack – XSS
17.197.195.153-192.168.1.60-5095-443-17,17.197.195.153,5095,192.168.1.60,443,17,07/07/2017 09:00:16,212555,4216,4,614.6254,219.1286,17507,489,229.7783,48971,425,1052.9111,3466937.3682231302,32116.210597369474,1369.1953,378.6753,28627,780,247.4654,1132.1093,10730,538,446.748,1055.6492,0,4,0,0,828.7741,902.8882,202.1568,536.6602,168,43007,1281.729,220.9203,34014.7619,0,963,5,2,2,4,3,0,898.8894,445.4827,83.4537,197.9165,623.1369,845.8668,838.1958,1009.1516,462.2543,32.6557,254.4572,395,745.8045,9572,5936,55534,344.5289,63.7599,1491.1855,467.2914,9046,956,708.1068,143.5454,23590,787,DDoS
192.168.0.195-192.168.3.151-59438-8080-17,192.168.0.195,59438,192.168.3.151,8080,17,07/07/2017 09:00:46,3167668,25,5,178.4736,537.2585,16691,745,1468.0866,455,774,34.103,34168.244669666914,132.5276113560309,447.5445,336.7499,55591,544,379.2765,344.4961,60375,354,155.1214,282.7207,5,0,0,5,419.2406,766.0535,883.7566,15.6458,211,8819,151.3451,16.7881,29889.2448,0,2,5,5,3,0,1,5,44.2367,438.9628,809.6397,1131.5786,1164.0954,210.2034,1490.2252,351.2423,1374.5955,864.1655,577.4748,42030,236.904,18777,28972,54206,300.501,60.9576,1422.7804,439.8569,22955,641,1018.1252,277.9253,6145,995,BENIGN
192.168.2.208-192.168.2.40-21912-8080-17,192.168.2.208,21912,192.168.2.40,8080,17,07/07/2017 09:00:08,3158976,12,34,914.7412,562.3859,54592,570,794.9877,50910,248,382.4935,23728.589138569776,169.94351598587807,495.3945,39.5352,58954,867,371.0775,803.4533,24966,52,268.4616,1010.5079,4,0,0,1,804.6506,587.5837,671.4505,217.0165,213,43642,454.782,454.4971,10590.3886,2,1,1,2,14,5,0,5,999.572,478.9209,363.8898,906.6023,306.7697,1372.6897,828.1189,1163.2708,570.9926,800.4752,359.2596,34283,359.6446,65179,61080,12924,802.8166,722.4136,1142.4435,160.1166,26624,379,469.383,22.8577,29002,759,BENIGN
192.168.0.144-192.168.1.246-62284-8080-17,192.168.0.144,62284,192.168.1.246,8080,17,07/07/2017 09:00:09,2768110,15,24,763.3606,488.6211,64303,471,252.3505,46160,173,209.9378,28532.496683931346,49.52313826688115,819.8195,92.0239,7698,536,33.8238,1270.0461,6358,782,6.3838,206.2373,5,1,0,5,151.0296,218.7197,456.0097,60.4501,653,63334,988.9265,7.8659,26610.6243,2,2,3,5,8,0,0,4,722.1927,535.7381,430.0328,753.324,1046.7886,645.8598,1409.5679,268.9003,1377.0733,786.5781,240.9688,33084,815.2144,35038,52022,10357,373.0516,406.0274,847.5033,495.1165,29603,307,1026.0624,423.9336,4152,95,BENIGN
192.168.2.208-192.168.1.246-32219-80-0,192.168.2.208,32219,192.168.1.246,80,0,07/07/2017 09:00:00,1438669,6,31,919.1522,229.7665,62324,277,69.843,9744,700,1388.3772,42281.95674756237,129.15899476768877,1348.9675,281.7549,4312,183,928.7664,471.727,27152,601,144.1916,1231.0361,3,0,2,1,563.9582,566.6959,849.4424,677.035,553,43480,575.7693,369.8726,39524.9043,2,1,5,1,16,5,0,4,745.4566,345.8595,146.5287,348.216,114.0274,907.7531,920.7979,893.413,1453.3808,489.565,634.1229,59054,490.6035,46636,49207,56603,185.7378,585.8751,570.1091,386.0837,38715,817,369.6747,36.7533,35123,157,BENIGN
192.168.0.152-192.168.2.208-21777-3389-6,192.168.0.152,21777,192.168.2.208,3389,6,07/07/2017 09:00:05,2586934,29,23,556.985,512.4408,13538,26,134.4283,12198,611,897.0657,38091.18991092849,20.895167115592553,486.6455,192.619,38253,423,387.7996,127.0493,31816,585,521.1045,1027.974,1,1,2,2,268.4068,145.9348,167.2074,275.9619,306,63469,1173.9999,180.5625,47211.1148,0,0,5,6,14,5,3,4,616.6688,457.8616,203.2343,10.1511,593.538,1262.4201,569.8349,1293.2975,660.3344,645.9243,823.5352,17842,300.4353,26326,62784,41180,177.6373,398.2396,478.7065,367.4372,64357,990,863.8189,121.2121,49290,287,BENIGN
84.28.117.211-192.168.3.151-8487-21-0,84.28.117.211,8487,192.168.3.151,21,0,07/07/2017 09:01:03,1254669,80,6,831.2818,69.1587,53627,689,748.9548,39692,247,379.0225,7647.53458614722,39.62166671248613,231.2149,211.564,49412,75,449.0667,896.9008,52534,547,506.6126,1380.5883,5,3,4,0,790.7209,359.5295,895.5015,536.906,653,11138,164.0541,124.1155,33234.6944,3,2,1,30,23,5,4,0,563.2203,645.0312,970.1154,1450.2167,497.3951,1194.3466,158.9168,147.9098,333.0016,1120.2795,557.9934,28971,445.7786,51266,60694,19758,344.9674,24.5627,156.824,207.9877,11253,118,1246.9766,365.0754,45656,319,SSH-Patator
192.168.0.24-192.168.2.40-32673-3389-17,192.168.0.24,32673,192.168.2.40,3389,17,07/07/2017 09:00:06,3796402,21,4,109.3627,800.0501,31970,528,261.6798,20989,338,839.7734,15083.177750778821,162.13209441528028,1437.6939,115.9278,53090,644,184.4518,960.7183,56640,405,29.1923,921.1604,1,3,4,3,388.8358,704.7356,205.7845,752.3255,828,8200,866.0219,399.7512,26844.4505,0,0,2,5,20,2,1,3,113.955,670.7014,734.226,1448.8746,470.1062,582.9589,588.816,171.3481,527.9774,686.7909,172.5275,38986,918.6826,11108,17556,41049,117.8617,305.38,274.5668,346.7183,50916,428,894.6387,287.403,55448,190,BENIGN
36.126.134.192-192.168.3.9-37390-22-17,36.126.134.192,37390,192.168.3.9,22,17,07/07/2017 09:00:19,98093,2677,7,136.5347,815.2159,64876,418,1027.045,54477,727,1259.8377,3116079.395006416,43343.35042739241,733.0493,41.3353,4044,814,761.0566,438.1349,36025,230,537.6086,252.3135,3,4,5,3,549.7262,113.211,114.2067,775.113,843,48085,813.0651,378.3931,38000.2065,0,974,3,0,3,4,1,3,102.4164,830.0707,1127.0182,446.5634,1498.969,674.5985,522.8655,1225.0929,658.6049,1490.9365,775.6316,31056,209.8782,45957,56120,21755,616.1512,784.8493,1220.2948,402.7202,45982,545,421.6275,269.3843,42421,720,DoS Hulk
192.168.2.27-192.168.0.144-63440-25-0,192.168.2.27,63440,192.168.0.144,25,0,07/07/2017 09:00:57,1138402,49,26,146.2434,322.0967,32447,779,1265.3335,51472,501,213.2574,45946.55872030828,198.50100201611252,948.603,313.9064,49174,462,75.5163,1191.8979,12202,412,515.6135,417.3385,2,3,3,2,581.9555,868.9078,847.1673,93.1417,995,60089,952.2608,348.6445,42505.312,0,2,4,2,7,3,1,3,824.8476,494.7149,484.2977,425.3896,820.9658,195.8914,1278.6339,1182.4555,1341.232,1143.381,45.9429,60238,16.2814,20707,57840,59836,0.6759,958.0318,303.4773,344.2959,17290,903,974.9958,79.4887,35916,95,BENIGN
